Wall time,Step,Value
1757928106.3664396,4,2.3064863681793213
1757928106.5552173,14,2.3043391704559326
1757928106.5716777,15,2.3004074096679688
1757928106.6519682,18,2.2984461784362793
1757928106.6638556,19,2.3121161460876465
1757928106.7256932,22,2.3068559169769287
1757928106.788725,26,2.3047468662261963
1757928106.798041,27,2.3141963481903076
1757928107.0626173,40,2.306818962097168
1757928107.187394,47,2.3097219467163086
1757928107.2183766,48,2.305030107498169
1757928107.2239535,49,2.29744815826416
1757928107.328046,54,2.301346778869629
1757928107.4832973,62,2.2971882820129395
1757928107.489681,63,2.3085527420043945
1757928107.5658317,66,2.296875476837158
1757928107.5736732,67,2.2995712757110596
1757928107.6550777,70,2.2998876571655273
1757928107.6612382,71,2.2973430156707764
1757928107.7640474,77,2.3027498722076416
1757928107.8722873,82,2.297985076904297
1757928108.0054803,89,2.303834915161133
1757928108.202176,99,2.3013522624969482
1757928108.279262,103,2.2990081310272217
1757928108.3492928,106,2.2979366779327393
1757928108.3556871,107,2.29947829246521
1757928108.5377226,116,2.295116662979126
1757928108.6322849,121,2.3004205226898193
1757928108.7221425,125,2.2949652671813965
1757928108.7558265,126,2.295657157897949
1757928108.8053107,128,2.2968339920043945
1757928108.8525333,130,2.2986562252044678
1757928108.9699934,136,2.297088861465454
1757928108.977518,137,2.298877239227295
1757928109.1259258,144,2.2969155311584473
1757928109.1713486,146,2.2943365573883057
1757928109.1836298,147,2.2953968048095703
1757928109.2536156,150,2.2934439182281494
1757928109.381851,157,2.2882585525512695
1757928109.4505835,160,2.2917191982269287
1757928109.5006173,162,2.288663387298584
1757928109.5402648,164,2.2922747135162354
1757928109.6541073,171,2.289430618286133
1757928109.6866503,172,2.2870142459869385
1757928109.7693107,177,2.2876007556915283
1757928109.9204392,184,2.280789613723755
1757928109.9279292,185,2.283531665802002
1757928109.9608984,186,2.281818151473999
1757928110.0274525,190,2.274778127670288
1757928110.0326002,191,2.2808837890625
1757928110.0614989,192,2.274749279022217
1757928110.1733649,199,2.269981622695923
1757928110.2410297,202,2.2701425552368164
1757928110.2469473,203,2.262646436691284
1757928110.2823663,204,2.2765605449676514
1757928110.2891326,205,2.253669261932373
1757928110.3286219,207,2.2607572078704834
1757928110.4134924,211,2.2420742511749268
1757928110.4578364,213,2.25750732421875
1757928110.5068696,215,2.256963014602661
1757928110.628822,220,2.2305195331573486
1757928110.6363611,221,2.2483646869659424
