Wall time,Step,Value
1757927602.4203913,4,2.304452896118164
1757927602.6590464,14,2.3003809452056885
1757927602.6655154,15,2.302912950515747
1757927602.7352986,18,2.296085834503174
1757927602.7447815,19,2.2950029373168945
1757927602.801875,22,2.2992286682128906
1757927602.9044578,26,2.298837423324585
1757927602.9124918,27,2.2972586154937744
1757927603.203792,40,2.2871344089508057
1757927603.3335183,47,2.283236026763916
1757927603.359892,48,2.263740062713623
1757927603.369232,49,2.278057098388672
1757927603.4765906,54,2.2593679428100586
1757927603.642069,62,2.209333896636963
1757927603.6597803,63,2.206885814666748
1757927603.7419176,66,2.238293409347534
1757927603.7489884,67,2.2341809272766113
1757927603.8157437,70,2.151735544204712
1757927603.8233135,71,2.183734178543091
1757927603.9576676,77,2.124854803085327
1757927604.0620375,82,2.064349889755249
1757927604.1854248,89,2.1011595726013184
1757927604.3726032,99,2.125807285308838
1757927604.4575336,103,2.014420747756958
1757927604.5222428,106,2.029669761657715
1757927604.5490227,107,2.049609661102295
1757927604.7183385,116,2.0166845321655273
1757927604.821471,121,1.961680293083191
1757927604.8988771,125,1.961091160774231
1757927604.9103758,126,2.020721435546875
1757927604.952058,128,2.03544020652771
1757927604.9854548,130,1.9688467979431152
1757927605.0854175,136,1.8827556371688843
1757927605.1207309,137,2.0534465312957764
1757927605.243432,144,1.8464940786361694
1757927605.28234,146,1.9731090068817139
1757927605.3138118,147,2.0092053413391113
1757927605.3497858,150,1.8904643058776855
1757927605.4952168,157,1.911063551902771
1757927605.5399754,160,1.8760496377944946
1757927605.5739732,162,1.7842665910720825
1757927605.6103303,164,1.9393562078475952
1757927605.7476425,171,1.8693935871124268
1757927605.7670655,172,1.890966534614563
1757927605.8671858,177,1.8753228187561035
1757927606.0214384,184,1.886083722114563
1757927606.0349684,185,1.8655953407287598
1757927606.0690987,186,1.8244316577911377
1757927606.161069,190,1.716299057006836
1757927606.1678646,191,1.8589900732040405
1757927606.2005138,192,1.833844542503357
1757927606.344654,199,1.8566277027130127
1757927606.4235241,202,1.8381931781768799
1757927606.4342005,203,1.8069260120391846
1757927606.459153,204,1.6561920642852783
1757927606.4682765,205,1.8400291204452515
1757927606.520056,207,1.8298605680465698
1757927606.6150033,211,1.706034779548645
1757927606.649653,213,1.8828095197677612
1757927606.6814318,215,1.7806525230407715
1757927606.7724774,220,1.8007785081863403
1757927606.7775362,221,1.7813193798065186
1757927606.8472633,224,1.6988534927368164
1757927606.9216776,229,1.7084918022155762
1757927607.2380233,244,1.709348201751709
1757927607.245357,245,1.662958025932312
1757927607.2784774,246,1.6538732051849365
1757927607.504963,258,1.7173410654067993
1757927607.5112777,259,1.5730031728744507
1757927607.5433743,260,1.7520582675933838
1757927607.7317588,271,1.6430847644805908
1757927607.804275,274,1.6093634366989136
1757927607.8450532,276,1.5906507968902588
1757927607.877412,278,1.684004545211792
1757927607.9478974,282,1.7845333814620972
1757927608.0068061,285,1.5271828174591064
1757927608.0669026,288,1.6330699920654297
1757927608.110423,290,1.7017344236373901
1757927608.2173553,295,1.650313138961792
1757927608.2550557,297,1.623589038848877
1757927608.2608678,298,1.6471402645111084
1757927608.4342566,306,1.694412112236023
1757927608.4780114,308,1.603162169456482
1757927608.561099,312,1.7728286981582642
1757927608.6518881,316,1.6390756368637085
1757927608.6892188,318,1.6810473203659058
1757927608.732318,319,1.625411868095398
1757927608.7805917,322,1.738083004951477
1757927609.0790834,337,1.6600284576416016
1757927609.0869043,338,1.6041370630264282
1757927609.1990528,343,1.666193962097168
1757927609.2429461,345,1.465235948562622
1757927609.2515826,346,1.6922556161880493
1757927609.3829987,352,1.5934548377990723
1757927609.420174,354,1.64790940284729
1757927609.4999194,358,1.4659489393234253
1757927609.6032176,364,1.3921197652816772
1757927609.6317186,365,1.5411019325256348
1757927609.639603,366,1.410810947418213
1757927609.6674232,367,1.690240502357483
1757927609.8363812,378,1.522678017616272
1757927609.9975555,386,1.668531894683838
1757927610.0657823,390,1.6311867237091064
1757927610.1944263,392,1.5454306602478027
1757927610.2982905,397,1.5001330375671387
1757927610.3934598,402,1.342172384262085
1757927610.4340334,404,1.7552711963653564
