Wall time,Step,Value
1757927190.5354297,4,2.306087017059326
1757927190.7070198,14,2.304812431335449
1757927190.7254605,15,2.304520845413208
1757927190.7884684,18,2.3071858882904053
1757927190.818268,19,2.303314685821533
1757927190.8693538,22,2.2980453968048096
1757927190.9549513,26,2.3028957843780518
1757927190.9902315,27,2.3010027408599854
1757927191.2617838,40,2.2967097759246826
1757927191.403999,47,2.305609941482544
1757927191.4213161,48,2.301870822906494
1757927191.4401653,49,2.300238847732544
1757927191.528218,54,2.2944815158843994
1757927191.6837313,62,2.29656982421875
1757927191.694878,63,2.301143169403076
1757927191.7745774,66,2.302976131439209
1757927191.7862718,67,2.296849012374878
1757927191.853755,70,2.2928271293640137
1757927191.865871,71,2.295288562774658
1757927191.9891558,77,2.2947230339050293
1757927192.1143222,82,2.2946903705596924
1757927192.2334533,89,2.289368152618408
1757927192.4314897,99,2.2916831970214844
1757927192.4981797,103,2.2908823490142822
1757927192.5425873,106,2.2825348377227783
1757927192.5679083,107,2.2758302688598633
1757927192.7214987,116,2.2778148651123047
1757927192.8230634,121,2.281007766723633
1757927192.904851,125,2.2715580463409424
1757927192.9313009,126,2.2686448097229004
1757927192.9685397,128,2.2646212577819824
1757927192.99925,130,2.2590041160583496
1757927193.1317668,136,2.2608604431152344
1757927193.1408715,137,2.261406183242798
1757927190.8335464,144,2.2659683227539062
1757927190.876472,146,2.2494895458221436
1757927190.8840246,147,2.2538537979125977
1757927190.9652355,150,2.217526912689209
1757927191.073291,157,2.193002223968506
1757927191.136428,160,2.1868607997894287
1757927191.1807687,162,2.2534377574920654
1757927191.2196898,164,2.2201759815216064
1757927191.3379273,171,2.153451919555664
1757927191.3733346,172,2.1440553665161133
1757927191.4686954,177,2.1709585189819336
1757927191.614326,184,2.149409294128418
1757927191.6240084,185,2.2038421630859375
1757927191.6508634,186,2.173882007598877
1757927191.748609,190,2.2007951736450195
1757927191.7581728,191,2.129892587661743
1757927191.787173,192,2.1446478366851807
1757927191.9259222,199,2.140657424926758
1757927192.0142417,202,2.1354966163635254
1757927192.0239692,203,2.181438446044922
1757927192.058186,204,2.1411383152008057
1757927192.0669553,205,2.0769567489624023
1757927192.1169255,207,2.0860116481781006
1757927192.1909733,211,2.1145570278167725
1757927192.2199204,213,2.1045475006103516
1757927192.2608511,215,2.1448588371276855
1757927192.3735917,220,2.1383073329925537
1757927192.3785548,221,2.0845577716827393
1757927192.4437258,224,2.067715883255005
1757927192.5058124,229,2.157907247543335
1757927192.8009133,244,2.059270143508911
1757927192.8111613,245,2.112854242324829
1757927192.8437676,246,2.027744770050049
1757927193.0797522,258,2.047879695892334
1757927193.08998,259,2.083113193511963
1757927193.1184232,260,2.1318652629852295
1757927193.3342133,271,2.0266125202178955
1757927193.4141965,274,1.933621883392334
1757927193.458803,276,1.9964568614959717
1757927193.5126293,278,2.0792181491851807
1757927193.5973294,282,2.0932209491729736
1757927193.6637843,285,2.065081834793091
1757927193.7266765,288,1.926086187362671
1757927193.7667067,290,1.8586846590042114
1757927193.8400702,295,1.9083054065704346
1757927193.8745015,297,1.9907876253128052
1757927193.9053154,298,2.029306411743164
1757927194.0552754,306,2.1014068126678467
1757927194.089873,308,2.07590913772583
1757927194.1692271,312,2.0389533042907715
1757927194.2415488,316,1.973677635192871
1757927194.2849188,318,1.9831533432006836
1757927194.2921236,319,2.0374059677124023
1757927194.3652246,322,1.966646671295166
1757927194.6396124,337,2.1205179691314697
1757927194.670735,338,2.0225603580474854
1757927194.7584639,343,1.950033187866211
1757927194.8008382,345,2.0641772747039795
1757927194.8215234,346,2.1342484951019287
1757927194.944454,352,1.9747114181518555
1757927194.9796402,354,2.0374996662139893
1757927195.058077,358,2.085052490234375
1757927195.1660397,364,1.92193603515625
1757927195.1753733,365,2.0228617191314697
1757927195.2047207,366,2.042494773864746
1757927195.2139623,367,1.9950759410858154
1757927195.4418192,378,1.9917120933532715
1757927195.620279,386,1.916352391242981
1757927195.678957,390,1.8306570053100586
1757927195.8044713,392,2.081780433654785
1757927195.915166,397,1.9593298435211182
1757927196.0106122,402,1.9615198373794556
1757927196.0578597,404,1.8612582683563232
1757927196.1634297,409,1.9321316480636597
1757927196.2582772,414,1.9326889514923096
1757927196.281436,415,1.925585150718689
1757927196.3976061,421,1.986077070236206
1757927196.406463,422,2.0039844512939453
