Wall time,Step,Value
1757927393.057633,4,2.297004222869873
1757927393.2562966,14,2.303093671798706
1757927393.2670264,15,2.3044426441192627
1757927393.3486884,18,2.3049118518829346
1757927393.35642,19,2.305635452270508
1757927393.4315784,22,2.3054492473602295
1757927393.510102,26,2.304454803466797
1757927393.523002,27,2.29988431930542
1757927393.7978895,40,2.29850435256958
1757927393.9341338,47,2.301112174987793
1757927393.9733865,48,2.2984042167663574
1757927393.9823618,49,2.3011012077331543
1757927394.1101854,54,2.297170877456665
1757927394.2409968,62,2.29744029045105
1757927394.2467165,63,2.3002586364746094
1757927394.3067749,66,2.3035531044006348
1757927394.3120139,67,2.29768705368042
1757927394.375639,70,2.2990119457244873
1757927394.3841863,71,2.298945426940918
1757927394.4868295,77,2.2972159385681152
1757927394.5968487,82,2.300595283508301
1757927394.7267115,89,2.300248146057129
1757927394.9355032,99,2.2955331802368164
1757927395.0072634,103,2.2995645999908447
1757927395.051296,106,2.293931484222412
1757927395.0760443,107,2.2961819171905518
1757927395.239481,116,2.2955119609832764
1757927395.3421125,121,2.2950994968414307
1757927395.422304,125,2.294572591781616
1757927395.4310868,126,2.295628309249878
1757927395.4699183,128,2.288918972015381
1757927395.514996,130,2.288403272628784
1757927395.6503754,136,2.28676700592041
1757927395.6864662,137,2.2924587726593018
1757927395.8184743,144,2.284029483795166
1757927395.8513727,146,2.2805287837982178
1757927395.8755794,147,2.2856948375701904
1757927395.9185774,150,2.2845726013183594
1757927396.0815053,157,2.2687113285064697
1757927396.145725,160,2.2660579681396484
1757927396.181175,162,2.2611448764801025
1757927396.2241457,164,2.2653794288635254
1757927396.386986,171,2.2641873359680176
1757927396.3952556,172,2.248432159423828
1757927396.51068,177,2.21970272064209
1757927396.6384091,184,2.1744296550750732
1757927396.6716034,185,2.2068114280700684
1757927396.6818273,186,2.1778552532196045
1757927396.7502365,190,2.169785261154175
1757927396.780008,191,2.166043281555176
1757927396.793094,192,2.1600515842437744
1757927396.9176698,199,2.127471923828125
1757927396.9692037,202,2.16184663772583
1757927397.0000694,203,2.133063316345215
1757927397.0091934,204,2.151280164718628
1757927397.0417943,205,2.1405670642852783
1757927397.0901022,207,2.124934434890747
1757927397.1840222,211,2.131601333618164
1757927397.2223606,213,2.1326067447662354
1757927397.2568843,215,2.1460652351379395
1757927397.3537288,220,2.0234105587005615
1757927397.3862355,221,2.118058204650879
1757927397.4288738,224,2.0819931030273438
1757927397.525419,229,2.143801689147949
1757927397.7919219,244,2.0391740798950195
1757927397.8280644,245,2.0711891651153564
1757927397.8350668,246,2.0603320598602295
1757927398.084385,258,2.0024008750915527
1757927398.1207628,259,2.009714365005493
1757927398.1299765,260,1.986878752708435
